"Year","Recruitment","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,2.97498,0.716222481972121,12.3572021587902,0.298625,-0.555205870369091,1.15245587036909
2012,1.77201,0.41534954348415,7.55994436339093,-0.2319,-1.2048868808092,0.741086880809203
2013,1.62668,0.382063194366286,6.92578573758973,-0.329963,-1.3188099093721,0.658883909372102
2014,1.8076,0.420298177247352,7.77404694305175,-0.236525,-1.27963743221206,0.806587432212062
2015,1.94169,0.445244786218647,8.46761191325569,-0.177076,-1.27680591183347,0.92265391183347
2016,2.24119,0.504985352045818,9.94668973218903,-0.0440212,-1.19222886102708,1.10418646102708
2017,2.35318,0.525967118860942,10.5281412351254,-0.00811482,-1.1749950579078,1.1587654179078
2018,2.35404,0.524987623360817,10.5554951679145,-0.00668137,-1.17448083101655,1.16111809101655
2019,2.34663,0.521455504679818,10.5601960425774,-0.00664769,-1.17446871062038,1.16117333062038
2020,2.31588,0.508190884510864,10.5537118784848,-0.00664766,-1.17446868062038,1.16117336062038
2021,2.3298,0.514492818174782,10.5501337399738,0,-1.17597839072403,1.17597839072403
